ch06,Sexo_Varón,educ,estado_Ocupado,cobertura_medica_tiene,pobre,estado_civil_no_casado,jefe_ocupado,educ_jefe,jefe_mujer,ninos_hogar
84,1,6.0,0,1,0,1,0,6.0,0,0
54,1,13.0,1,1,0,1,1,13.0,0,0
37,1,13.0,1,1,1,0,1,13.0,0,2
38,0,14.0,0,1,1,0,1,13.0,0,2
16,0,12.0,0,1,1,1,1,13.0,0,2
13,0,9.0,0,1,1,1,1,13.0,0,2
38,1,10.0,0,0,1,1,0,10.0,0,2
37,0,11.0,1,0,1,1,0,10.0,0,2
12,0,9.0,0,0,1,1,0,10.0,0,2
7,0,3.0,0,0,1,1,0,10.0,0,2
52,1,11.0,1,1,0,0,1,11.0,0,0
51,0,11.0,0,1,0,0,1,11.0,0,0
23,1,16.0,0,0,0,1,1,11.0,0,0
23,1,13.0,1,1,0,1,1,13.0,0,0
49,1,18.0,1,1,0,0,1,18.0,0,0
47,0,15.0,1,1,0,0,1,18.0,0,0
21,1,15.0,0,1,0,1,1,18.0,0,0
18,0,13.0,0,1,0,1,1,18.0,0,0
41,1,13.0,1,1,0,0,1,13.0,0,3
3,0,0.0,0,1,1,1,1,13.0,0,2
54,1,8.0,0,1,0,1,0,8.0,0,0
77,0,16.0,0,1,0,1,0,16.0,1,0
77,1,23.0,0,1,0,0,0,23.0,0,0
74,0,19.0,0,1,0,0,0,23.0,0,0
41,0,16.0,1,1,0,1,0,23.0,0,0
44,0,13.0,1,1,0,1,1,13.0,1,0
18,0,12.0,0,1,0,1,1,13.0,1,0
57,0,13.0,1,1,0,0,1,13.0,1,0
23,0,15.0,0,0,0,1,1,13.0,1,0
54,1,10.0,1,0,0,0,1,13.0,1,0
96,1,0.0,0,1,0,1,0,0.0,0,0
53,1,8.0,1,1,0,1,0,0.0,0,0
39,0,16.0,1,1,0,0,1,13.0,0,3
14,0,7.0,0,1,0,1,1,13.0,0,3
10,0,4.0,0,1,0,1,1,13.0,0,3
1,0,0.0,0,1,0,1,1,13.0,0,3
46,1,15.0,1,1,0,1,1,15.0,0,0
51,0,15.0,1,1,0,1,1,15.0,0,0
18,0,13.0,0,1,0,1,1,15.0,0,0
53,1,13.0,1,1,0,1,1,13.0,0,0
55,0,8.0,0,1,0,1,1,13.0,0,0
18,0,12.0,0,1,0,1,1,13.0,0,0
20,1,13.0,0,1,0,1,1,13.0,0,0
61,1,13.0,1,1,0,0,1,13.0,0,0
56,0,12.0,1,1,0,0,1,13.0,0,0
25,0,13.0,1,1,0,1,1,13.0,0,0
84,0,4.0,0,1,0,1,0,4.0,1,0
32,1,13.0,1,0,0,1,0,0.0,0,0
26,1,13.0,1,0,0,1,0,0.0,0,0
33,1,13.0,1,0,1,1,1,13.0,0,2
31,0,13.0,0,0,1,1,1,13.0,0,2
